"fips","county","state"
"09001","Fairfield County","Connecticut"
"09003","Hartford County","Connecticut"
"09005","Litchfield County","Connecticut"
"09007","Middlesex County","Connecticut"
"09009","New Haven County","Connecticut"
"09011","New London County","Connecticut"
"09013","Tolland County","Connecticut"
"09015","Windham County","Connecticut"
"25001","Barnstable County","Massachusetts"
"25003","Berkshire County","Massachusetts"
"25005","Bristol County","Massachusetts"
"25007","Dukes County","Massachusetts"
"25009","Essex County","Massachusetts"
"25011","Franklin County","Massachusetts"
"25013","Hampden County","Massachusetts"
"25015","Hampshire County","Massachusetts"
"25017","Middlesex County","Massachusetts"
"25019","Nantucket County","Massachusetts"
"25021","Norfolk County","Massachusetts"
"25023","Plymouth County","Massachusetts"
"25025","Suffolk County","Massachusetts"
"25027","Worcester County","Massachusetts"
"33001","Belknap County","New Hampshire"
"33003","Carroll County","New Hampshire"
"33005","Cheshire County","New Hampshire"
"33007","Coos County","New Hampshire"
"33009","Grafton County","New Hampshire"
"33011","Hillsborough County","New Hampshire"
"33013","Merrimack County","New Hampshire"
"33015","Rockingham County","New Hampshire"
"33017","Strafford County","New Hampshire"
"33019","Sullivan County","New Hampshire"
"34001","Atlantic County","New Jersey"
"34003","Bergen County","New Jersey"
"34005","Burlington County","New Jersey"
"34007","Camden County","New Jersey"
"34009","Cape May County","New Jersey"
"34011","Cumberland County","New Jersey"
"34013","Essex County","New Jersey"
"34015","Gloucester County","New Jersey"
"34017","Hudson County","New Jersey"
"34019","Hunterdon County","New Jersey"
"34021","Mercer County","New Jersey"
"34023","Middlesex County","New Jersey"
"34025","Monmouth County","New Jersey"
"34027","Morris County","New Jersey"
"34029","Ocean County","New Jersey"
"34031","Passaic County","New Jersey"
"34033","Salem County","New Jersey"
"34035","Somerset County","New Jersey"
"34037","Sussex County","New Jersey"
"34039","Union County","New Jersey"
"34041","Warren County","New Jersey"
"36001","Albany County","New York"
"36003","Allegany County","New York"
"36005","Bronx County","New York"
"36007","Broome County","New York"
"36009","Cattaraugus County","New York"
"36011","Cayuga County","New York"
"36013","Chautauqua County","New York"
"36015","Chemung County","New York"
"36017","Chenango County","New York"
"36019","Clinton County","New York"
"36021","Columbia County","New York"
"36023","Cortland County","New York"
"36025","Delaware County","New York"
"36027","Dutchess County","New York"
"36029","Erie County","New York"
"36031","Essex County","New York"
"36033","Franklin County","New York"
"36035","Fulton County","New York"
"36037","Genesee County","New York"
"36039","Greene County","New York"
"36041","Hamilton County","New York"
"36043","Herkimer County","New York"
"36045","Jefferson County","New York"
"36047","Kings County","New York"
"36049","Lewis County","New York"
"36051","Livingston County","New York"
"36053","Madison County","New York"
"36055","Monroe County","New York"
"36057","Montgomery County","New York"
"36059","Nassau County","New York"
"36061","New York County","New York"
"36063","Niagara County","New York"
"36065","Oneida County","New York"
"36067","Onondaga County","New York"
"36069","Ontario County","New York"
"36071","Orange County","New York"
"36073","Orleans County","New York"
"36075","Oswego County","New York"
"36077","Otsego County","New York"
"36079","Putnam County","New York"
"36081","Queens County","New York"
"36083","Rensselaer County","New York"
"36085","Richmond County","New York"
"36087","Rockland County","New York"
"36089","St. Lawrence County","New York"
"36091","Saratoga County","New York"
"36093","Schenectady County","New York"
"36095","Schoharie County","New York"
"36097","Schuyler County","New York"
"36099","Seneca County","New York"
"36101","Steuben County","New York"
"36103","Suffolk County","New York"
"36105","Sullivan County","New York"
"36107","Tioga County","New York"
"36109","Tompkins County","New York"
"36111","Ulster County","New York"
"36113","Warren County","New York"
"36115","Washington County","New York"
"36117","Wayne County","New York"
"36119","Westchester County","New York"
"36121","Wyoming County","New York"
"36123","Yates County","New York"
"42001","Adams County","Pennsylvania"
"42003","Allegheny County","Pennsylvania"
"42005","Armstrong County","Pennsylvania"
"42007","Beaver County","Pennsylvania"
"42009","Bedford County","Pennsylvania"
"42011","Berks County","Pennsylvania"
"42013","Blair County","Pennsylvania"
"42015","Bradford County","Pennsylvania"
"42017","Bucks County","Pennsylvania"
"42019","Butler County","Pennsylvania"
"42021","Cambria County","Pennsylvania"
"42023","Cameron County","Pennsylvania"
"42025","Carbon County","Pennsylvania"
"42027","Centre County","Pennsylvania"
"42029","Chester County","Pennsylvania"
"42031","Clarion County","Pennsylvania"
"42033","Clearfield County","Pennsylvania"
"42035","Clinton County","Pennsylvania"
"42037","Columbia County","Pennsylvania"
"42039","Crawford County","Pennsylvania"
"42041","Cumberland County","Pennsylvania"
"42043","Dauphin County","Pennsylvania"
"42045","Delaware County","Pennsylvania"
"42047","Elk County","Pennsylvania"
"42049","Erie County","Pennsylvania"
"42051","Fayette County","Pennsylvania"
"42053","Forest County","Pennsylvania"
"42055","Franklin County","Pennsylvania"
"42057","Fulton County","Pennsylvania"
"42059","Greene County","Pennsylvania"
"42061","Huntingdon County","Pennsylvania"
"42063","Indiana County","Pennsylvania"
"42065","Jefferson County","Pennsylvania"
"42067","Juniata County","Pennsylvania"
"42069","Lackawanna County","Pennsylvania"
"42071","Lancaster County","Pennsylvania"
"42073","Lawrence County","Pennsylvania"
"42075","Lebanon County","Pennsylvania"
"42077","Lehigh County","Pennsylvania"
"42079","Luzerne County","Pennsylvania"
"42081","Lycoming County","Pennsylvania"
"42083","McKean County","Pennsylvania"
"42085","Mercer County","Pennsylvania"
"42087","Mifflin County","Pennsylvania"
"42089","Monroe County","Pennsylvania"
"42091","Montgomery County","Pennsylvania"
"42093","Montour County","Pennsylvania"
"42095","Northampton County","Pennsylvania"
"42097","Northumberland County","Pennsylvania"
"42099","Perry County","Pennsylvania"
"42101","Philadelphia County","Pennsylvania"
"42103","Pike County","Pennsylvania"
"42105","Potter County","Pennsylvania"
"42107","Schuylkill County","Pennsylvania"
"42109","Snyder County","Pennsylvania"
"42111","Somerset County","Pennsylvania"
"42113","Sullivan County","Pennsylvania"
"42115","Susquehanna County","Pennsylvania"
"42117","Tioga County","Pennsylvania"
"42119","Union County","Pennsylvania"
"42121","Venango County","Pennsylvania"
"42123","Warren County","Pennsylvania"
"42125","Washington County","Pennsylvania"
"42127","Wayne County","Pennsylvania"
"42129","Westmoreland County","Pennsylvania"
"42131","Wyoming County","Pennsylvania"
"42133","York County","Pennsylvania"
"44001","Bristol County","Rhode Island"
"44003","Kent County","Rhode Island"
"44005","Newport County","Rhode Island"
"44007","Providence County","Rhode Island"
"44009","Washington County","Rhode Island"
"50001","Addison County","Vermont"
"50003","Bennington County","Vermont"
"50005","Caledonia County","Vermont"
"50007","Chittenden County","Vermont"
"50009","Essex County","Vermont"
"50011","Franklin County","Vermont"
"50013","Grand Isle County","Vermont"
"50015","Lamoille County","Vermont"
"50017","Orange County","Vermont"
"50019","Orleans County","Vermont"
"50021","Rutland County","Vermont"
"50023","Washington County","Vermont"
"50025","Windham County","Vermont"
"50027","Windsor County","Vermont"
